Topic1,Topic2,Edge Weight
Basketball,Orlando Magic,1
Basketball,Orlando,1
Basketball,Milwaukee,1
Basketball,Wisconsin,1
Milwaukee Bucks,Orlando Magic,1
Florida,Milwaukee Bucks,1
Milwaukee Bucks,Orlando,1
Milwaukee,Milwaukee Bucks,1
Milwaukee Bucks,Wisconsin,1
Florida,Orlando Magic,1
Orlando,Orlando Magic,1
Milwaukee,Orlando Magic,1
Orlando Magic,Wisconsin,1
Florida,Milwaukee,1
Florida,Wisconsin,1
Milwaukee,Orlando,1
Orlando,Wisconsin,1
Milwaukee,Wisconsin,1
Sports Figures,Virat Kohli,1
Africa,Kamala Harris,1
Atlanta,Green Energy,1
Atlanta,Electric Vehicles,1
Georgia,Green Energy,1
Electric Vehicles,Georgia,1
Russia,Ukraine,1
Edmonton Oilers,NHL,1
Arizona,NBA,1
Arizona,Phoenix,2
Arizona,Basketball,1
Arizona,Phoenix Suns,1
NBA,Phoenix,1
NBA,Phoenix Suns,1
Basketball,Phoenix,1
Phoenix,Phoenix Suns,1
Basketball,Phoenix Suns,1
Bollywood,Movies,1
Earnings Calls,Markets,2
Aston Martin,Motorsports,1
Aston Martin,Formula 1,1
NYC,Orlando,1
New York,Orlando,1
Florida,NYC,1
Florida,New York,1
Dak Prescott,Sports Figures,1
Aviation,ESG,1
College Sports,Oklahoma,1
College Sports,Softball,1
Oklahoma,Softball,1
Fitness,Qatar,1
China,Law Enforcement,1
China,Philippines,1
Law Enforcement,Philippines,1
Electric Vehicles,Energy Storage,1
Energy Storage,India,1
Electric Vehicles,India,1
California,NHL,1
California,Los Angeles Kings,1
California,Hockey,1
Los Angeles Kings,NHL,1
Los Angeles,NHL,1
Hockey,Los Angeles Kings,1
Los Angeles,Los Angeles Kings,1
Hockey,Los Angeles,1
Bollywood,Guinness World Records,1
Justin Verlander,Sports Figures,1
Grammy Awards,Podcasts,1
Hockey,Podcasts,1
Grammy Awards,Hockey,1
United Kingdom,Vodafone,1
Nokia,United Kingdom,1
Nokia,Vodafone,1
Alibaba,Markets,1
Alibaba,China,1
Philadelphia Phillies,San Diego Padres,1
Baseball,Philadelphia Phillies,1
MLB,Philadelphia Phillies,1
Bollywood,India,1
Eden Hazard,Sports Figures,1
Airlines,Lufthansa,1
Aviation,Lufthansa,1
Boeing,Lufthansa,1
Business Leaders,Startups,1
FinTech,JPMorgan,1
Nebraska,Soccer,1
AI,Bitcoin,1
Bitcoin,Dogecoin,1
AI,Dogecoin,1
Apple,Apple Watch,2
Apple Watch,Electronics,2
Music,Texas,1
Bollywood,Netflix,1
Costco,Markets,1
Electronics,Google,1
Google,iPhone,1
Android,Apple,1
Android,Electronics,1
Android,iPhone,1
Pittsburgh Steelers,T.J. Watt,1
Pittsburgh Steelers,Sports Figures,1
Sports Figures,T.J. Watt,1
NFL,T.J. Watt,1
Football,T.J. Watt,1
AI,Media,1
Apple,Samsung,1
Samsung,iPhone,1
Rafael Nadal,Sports Figures,1
Novak Djokovic,Sports Figures,1
Novak Djokovic,Rafael Nadal,1
Rafael Nadal,Tennis,1
Novak Djokovic,Tennis,1
College Sports,San Diego,1
Basketball,San Diego,1
California,College Sports,1
Basketball,California,1
Arizona,Hockey,1
Hockey,Phoenix,1
Cryptocurrency,Markets,1
Cryptocurrency,NASDAQ,1
TV,The Masked Singer,1
Cryptocurrency,Electronics,1
Cryptocurrency,Samsung,1
China,Earthquakes,1
Holidays,Las Vegas,1
Las Vegas,NYE,1
Holidays,Nevada,1
Holidays,NYE,1
NYE,Nevada,1
Economy,Hong Kong,1
Hong Kong,Markets,1
Economy,Markets,1
